threshold	threshold_label	source_db	pathway_id	pathway_label	module_edges	pathway_edges	p_adj_CAPRINIM	p_adj_BioGRID	p_adj_STRING	neglog10_padj_CAPRINIM	neglog10_padj_BioGRID	neglog10_padj_STRING	odds_ratio_CAPRINIM	odds_ratio_BioGRID	odds_ratio_STRING	overlap_edges_CAPRINIM	overlap_edges_BioGRID	overlap_edges_STRING	edge_precision_in_pathway_CAPRINIM	edge_precision_in_pathway_BioGRID	edge_precision_in_pathway_STRING	pathway_edge_coverage_CAPRINIM	pathway_edge_coverage_BioGRID	pathway_edge_coverage_STRING	jaccard_edges_CAPRINIM	jaccard_edges_BioGRID	jaccard_edges_STRING	delta_caprinim_vs_biogrid	delta_caprinim_vs_string	mean_delta_caprinim
0.05	0.05	kegg	mmu:05414	[KEGG] Dilated cardiomyopathy	3058	175	NA	NA	0.380642177389336	NA	NA	0.41948309100282377	NA	NA	1.4744873603177697	NA	NA	14	NA	NA	0.004578155657292348	NA	NA	0.08	NA	NA	0.004349176762969867	NA	NA	NA
0.05	0.05	kegg	mmu:05415	[KEGG] Diabetic cardiomyopathy	3058	64	NA	NA	1	NA	NA	-0	NA	NA	0.5458886148749394	NA	NA	2	NA	NA	6.540222367560497e-4	NA	NA	0.03125	NA	NA	6.41025641025641e-4	NA	NA	NA
0.05	0.05	reactome	R-MMU-2730905	[REACTOME] Role of LAT2/NTAL/LAB on calcium mobilization	3058	27	NA	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
0.05	0.05	reactome	R-MMU-390522	[REACTOME] Striated Muscle Contraction	3058	64	NA	NA	0.4132322044802236	NA	NA	0.3838058399040041	NA	NA	1.7530347788414444	NA	NA	6	NA	NA	0.001962066710268149	NA	NA	0.09375	NA	NA	0.0019255455712451862	NA	NA	NA
0.05	0.05	reactome	R-MMU-397014	[REACTOME] Muscle contraction	3058	199	NA	NA	0.3055973393442485	NA	NA	0.5148504312257367	NA	NA	1.5847754186503455	NA	NA	17	NA	NA	0.005559189012426423	NA	NA	0.08542713567839195	NA	NA	0.005246913580246914	NA	NA	NA
0.05	0.05	reactome	R-MMU-418360	[REACTOME] Platelet calcium homeostasis	3058	10	NA	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
0.05	0.05	reactome	R-MMU-445355	[REACTOME] Smooth Muscle Contraction	3058	69	NA	NA	1	NA	NA	-0	NA	NA	0.5051009893893955	NA	NA	2	NA	NA	6.540222367560497e-4	NA	NA	0.028985507246376812	NA	NA	6.4e-4	NA	NA	NA
0.05	0.05	reactome	R-MMU-8949215	[REACTOME] Mitochondrial calcium ion transport	3058	17	NA	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
0.05	0.05	wikipathways	WP1560	[WIKIPATHWAYS] MicroRNAs in cardiomyocyte hypertrophy	3058	74	NA	NA	1	NA	NA	-0	NA	NA	0.46999085861104484	NA	NA	2	NA	NA	6.540222367560497e-4	NA	NA	0.02702702702702703	NA	NA	6.389776357827476e-4	NA	NA	NA
0.05	0.05	wikipathways	WP553	[WIKIPATHWAYS] Calcium regulation in cardiac cells	3058	5	NA	NA	1	NA	NA	-0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA
