"from","to"
"Hspa14","Aifm1"
"Ndufs2","Mcu"
"Stat3","Mcu"
"Mapk1","Fhl1"
"Itgb2","Postn"
"Tgfb1","Postn"
"Itgb1","Postn"
"Myd88","Irak4"
"Atp2a2","Plbd1"
"Camk2a","Plbd1"
"Gnas","Atp1a1"
"Actr2","Cttn"
"Cfl1","Cttn"
"Actn1","Cttn"
"Ncf1","Cttn"
"Hdac6","Cttn"
"Adh5","Gstp1"
"Prkaa1","Acat1"
"Akt1","Iqgap1"
"Ctnnb1","Iqgap1"
"Akt1","Ptpn1"
"Prkaa1","Ptpn1"
"Akt1","Slc2a4"
"Prkaa1","Slc2a4"
"Stat3","Dapk3"
"Orai1","Papss1"
"Camk2a","Tubb2a"
"Sod2","Rab7"
"Hsp90aa1","Srgn"
"Cyb5r3","Srgn"
"Pdia3","Srgn"
"Gpsm1","Srgn"
"Tgfb1","Ccn2"
"Bax","Hspb6"
"Stat3","Prkcd"
"Camk2a","Prkcd"
"Tgfb1","Prelp"
"Hspa14","Dnajb5"
"Akt1","Syk"
"Fcgr2b","Syk"
"Plcg2","Syk"
"Prkcd","Syk"
"Rab7","Arl8b"
"Stat3","Tomm20"
"Dld","Lias"
"Fdx1","Lias"
"Mapre2","Lias"
"Itgb2","Efemp2"
"Cav1","Sqstm1"
"Keap1","Sqstm1"
"Asah1","Sphk1"
"Tgfb1","Sphk1"
"Cryab","Pkn1"
"Mapk14","Map3k7"
"Tgfb1","Map3k7"
"Ahsa1","Map3k7"
"Efemp2","Map3k7"
"Mapk14","Map3k5"
"Ahsa1","Map3k5"
"Mapk14","Prkca"
"Pln","Prkca"
"Isca2","Prkca"
"Tgfb1","Prkca"
"Got2","Prkca"
"Itgb1","Prkca"
"Bax","Mfn1"
"Smad2","Parp9"
"Cryab","Svil"
"Smad2","Saraf"
"Itgb2","Ctsz"
"Efemp2","Ctsz"
"Bax","Sh3glb1"
"Bak1","Sh3glb1"
"Mapk14","Nppa"
"Tgfb1","Nppa"
"Corin","Nppa"
"Ccn2","Nppa"
"Tgfb1","Lrp1"
"Serping1","Lrp1"
"Ccn2","Lrp1"
"Syk","Lrp1"
"Pdcd6ip","Sdcbp"
"Itgb1","Mfge8"
"Capn2","Tnni3"
"Rapgef4","Tnni3"
"Prkg1","Tnni3"
"Tnnc1","Tnni3"
"Crip2","Tnni3"
"Prkcb","Tnni3"
"Tgfb1","Pfdn1"
"Pdha1","Dlat"
"Dld","Dlat"
"Prkaa1","Myh7"
"Ace","Add1"
"Atp2a2","Hrc"
"Jup","Hrc"
"Stat3","Lifr"
"Prkaa1","Prkaa2"
"Syk","Ecm1"
"Itgb2","Cap2"
"Hspa9","Cap2"
"Lifr","Osmr"
"Prkaa1","Prkar1a"
