"from","to"
"Cttn","Asap1"
"Dlg1","Asap1"
"Inpp5d","Fcgr2b"
"Csnk1d","Fhl1"
"Bin1","Fhl1"
"Hnrnpd","Rab7"
"Lmna","Rab7"
"Pten","Rab7"
"Actb","Sorbs2"
"Myh9","Sorbs2"
"Bin1","Sorbs2"
"Myh10","Sorbs2"
"Actn1","Sorbs2"
"Ptk2b","Sorbs2"
"Atg16l1","Csk"
"Atg16l1","Fis1"
"Tubb2a","Fis1"
"Myh9","Itgb1"
"Myh10","Itgb1"
"Usp8","Itgb1"
"Actn4","Itgb1"
"Hsp90b1","Itgb1"
"Iqgap1","Itgb1"
"Prpf8","Itgb1"
"Xdh","Itgb1"
"Dapk3","Itga5"
"Ogt","Itga5"
"Sharpin","Itga5"
"Itgb1","Itga5"
"Snca","Kcnj11"
"Pdia6","P4hb"
"Hsp90b1","P4hb"
"Gnao1","Atp1a3"
"Atp1a1","Atp1a3"
"Nup214","Stat2"
"Dnm1","Cryab"
"Ccnd1","Cryab"
"Casp6","Cryab"
"Sod1","Cryab"
"Snca","Syp"
"Gnao1","Syp"
"Park7","Syp"
"Atg16l1","Lmnb1"
"Lmna","Lmnb1"
"Pten","Lmnb1"
"Bin1","Glud1"
"Hnrnpd","Glud1"
"Pten","Glud1"
"Pten","Anxa1"
"Atg16l1","Tomm20"
"Mapk14","Tomm20"
"Rac1","Akip1"
"Cdkn1b","Cdk5"
"Myh9","Add1"
"Atg16l1","Fmnl1"
"Mcm3","Fmnl1"
"Prkcd","Marcks"
"Smad2","Col3a1"
"Phb2","Atp2a2"
"Pten","Atp2a2"
"Ctnnb1","Adam10"
"Bin1","Adam10"
"Mapk1","Adam10"
"Map3k5","Adam10"
"Camk2a","Adam10"
"Slc25a12","Adam10"
"Ndufs2","Adam10"
"Ndufv2","Adam10"
"Cyc1","Adam10"
"Kif5b","Adam10"
"Dlg1","Adam10"
"Rab7","Adam10"
"Actb","Dab2"
"Myh9","Dab2"
"Myh10","Dab2"
"Ap2m1","Dab2"
"Hnrnpd","Dab2"
"Pten","Dab2"
"Mapk1","Dusp3"
"Atg16l1","Alb"
"Slc25a13","Alb"
"Apoe","Alb"
"Ryr2","Alb"
"Myh9","Cald1"
"Bin1","Cald1"
"Pten","Cald1"
"Cul2","Ppp1r21"
"Acadvl","Acaa2"
"Adam10","Acaa2"
"Csk","Camk2g"
"Alox5","Camk2g"
"Adam10","Camk2g"
"Bin1","Dlat"
"Hdac6","Dlat"
"Ndufs2","Dlat"
"Ndufb7","Dlat"
"Ndufa10","Dlat"
"Ndufs1","Dlat"
"Ndufs7","Dlat"
"Ndufv2","Dlat"
"Cyc1","Dlat"
"Idh3g","Dlat"
"Pten","Ccdc88a"
"Actb","Dock7"
"Mapk14","Dock7"
"Adam10","Pacs1"
"Atg16l1","Pdhb"
"Hdac6","Pdhb"
"Ndufb7","Pdhb"
"Ndufa10","Pdhb"
"Ndufs1","Pdhb"
"Ndufs7","Pdhb"
"Ndufv2","Pdhb"
"Cyc1","Pdhb"
"Idh3g","Pdhb"
"Dlat","Pdhb"
"Atg16l1","Pfkp"
"Bin1","Pfkp"
"Eef1a1","Pfkp"
"Gnao1","Pfkp"
"Ppp3cc","Ppp3ca"
"Fkbp1a","Ppp3ca"
"Bin1","Ppp3ca"
"Gnao1","Ppp3ca"
"Pten","Ppp3ca"
"Adam10","Ppp3ca"
"Atg16l1","Strn"
"Dynll1","Strn"
"Actb","Syn1"
"Bin1","Syn1"
"Dnm1","Syn1"
"Snca","Syn1"
"Gnao1","Syn1"
"Cdk5","Syn1"
"Camk2g","Syn1"
"Gnao1","Atp1a2"
"Atp1a1","Atp1a2"
"Atp1a3","Atp1a2"
"Myh9","Gosr1"
"Hnrnpd","Gosr1"
"Smurf2","Clip1"
"Bin1","Clip1"
"Iqgap1","Clip1"
"Myh9","Cfl2"
"Mapk14","Cfl2"
"Pten","Cfl2"
"Slc25a12","Cycs"
"Slc25a13","Cycs"
"Ndufs4","Cycs"
"Ndufs2","Cycs"
"Ndufb7","Cycs"
"Ndufa10","Cycs"
"Ndufs1","Cycs"
"Ndufs7","Cycs"
"Ndufc2","Cycs"
"Ndufv2","Cycs"
"Ndufb5","Cycs"
"Cyc1","Cycs"
"Aifm1","Cycs"
"Dlat","Cycs"
"Pdhb","Cycs"
"Col18a1","Fbln2"
"Smad2","Sqstm1"
"Atg16l1","Sqstm1"
"Mapk1","Sqstm1"
"Keap1","Sqstm1"
"Ripk1","Sqstm1"
"Rela","Sqstm1"
"Ruvbl1","Sqstm1"
"Prkcd","Sqstm1"
"Casp8","Sqstm1"
"Nedd4","Sqstm1"
"Tax1bp1","Sqstm1"
"Sod1","Sqstm1"
"Tomm20","Sqstm1"
"Atg16l1","Syk"
