"from","to"
"Eci1","Hadh"
"Atg16l1","Lgals9"
"Bin1","Lgals9"
"Lgals3bp","Lgals9"
"Atg16l1","Ybx1"
"Actb","Ybx1"
"Hnrnpd","Ybx1"
"Pcna","Ybx1"
"Pcbp1","Ybx1"
"Actn4","Ybx1"
"Ddx21","Ybx1"
"Mrps35","Ybx1"
"Yars2","Ybx1"
"Eif4a3","Ybx1"
"Snd1","Ybx1"
"Atg16l1","Mical1"
"Hspa9","Erp44"
"Pdia6","Erp44"
"P4hb","Erp44"
"Pdia3","Erp44"
"G6pdx","Erp44"
"Gnao1","Ipo5"
"Acadvl","Acadm"
"Acaa2","Acadm"
"Mdh2","Acadm"
"Aco2","Acadm"
"Decr1","Acadm"
"Got2","Acadm"
"Eci1","Acadm"
"Hadh","Acadm"
"Bin1","Acox1"
"Adam10","Acox1"
"Cat","Acox1"
"Gpd2","Acox1"
"Bin1","Cast"
"Kif5b","Cast"
"Hnrnpd","Commd10"
"Rela","Commd10"
"Bin1","Coq9"
"Ndufa10","Coq9"
"Ndufs1","Coq9"
"Ndufs7","Coq9"
"Ndufb5","Coq9"
"Cyc1","Coq9"
"Pdhb","Coq9"
"Fh1","Coq9"
"Idh3a","Coq9"
"Aco2","Coq9"
"Cisd1","Coq9"
"Pgk1","Coq9"
"Got2","Coq9"
"Pdha1","Coq9"
"Eci1","Coq9"
"Ldhb","Cygb"
"Aldh5a1","Cygb"
"Fkbp1a","Dhodh"
"Got1","Dhodh"
"Lnpep","Dhodh"
"Got2","Dhodh"
"Ldhb","Gstk1"
"Mecr","Acadl"
"Pten","Acadl"
"Acadvl","Acadl"
"Acat1","Acadl"
"Adam10","Acadl"
"Acaa2","Acadl"
"Decr1","Acadl"
"Got2","Acadl"
"Eci1","Acadl"
"Hadh","Acadl"
"Acadm","Acadl"
"Acadvl","Hibadh"
"Decr1","Hibadh"
"Eci1","Hibadh"
"Hadh","Hibadh"
"Acadm","Hibadh"
"Gnao1","Lifr"
"Bin1","Lrp1"
"Aspscr1","Lrp1"
"Lifr","Lrp1"
"Ndufs7","Mpc2"
"Cyc1","Mpc2"
"Mdh2","Mpc2"
"Idh1","Mpc2"
"Slc25a4","Mpc2"
"Aldh2","Mpc2"
"Prdx6","Mpc2"
"Gpd2","Mpc2"
"Pygm","Mpc2"
"Bin1","Ddah2"
"Psma3","Psmb9"
"Msn","Prdx3"
"Pten","Prdx3"
"Mdh2","Prdx3"
"Hibadh","Prdx3"
"Mapk14","Tomm70a"
"Slmap","Tomm70a"
"Myh9","Tuba1c"
"Gnao1","Tuba1c"
"Myd88","Tuba1c"
"Yap1","Tuba1c"
"Mapk14","Txndc5"
"Pten","Txndc5"
"P4hb","Txndc5"
"Prdx1","Txndc5"
"Erp44","Txndc5"
"Asah1","Arl8b"
"Cycs","Cyb5r3"
"Prkcb","Cyth2"
"Gnaq","Cyth2"
"Arf6","Cyth2"
"Prkca","Cyth2"
"Hspa9","Fxn"
"Hspd1","Fxn"
"Acadm","Adh5"
"Bin1","Isoc1"
"Prcp","Isoc1"
"G6pdx","Isoc1"
"Erp44","Isoc1"
"Bin1","Letm1"
"Rb1cc1","Letm1"
"Gnao1","Letm1"
"Cyc1","Letm1"
"Idh3a","Letm1"
"Aco2","Letm1"
"Psma3","Letm1"
"Slc25a4","Letm1"
"Bin1","Mtm1"
"Ndufs4","Ndufa3"
"Ndufs2","Ndufa3"
"Ndufb7","Ndufa3"
"Ndufa10","Ndufa3"
"Ndufs1","Ndufa3"
"Ndufs7","Ndufa3"
"Ndufc2","Ndufa3"
"Ndufv2","Ndufa3"
"Cyc1","Ndufa3"
"Cycs","Ndufa3"
"Aco2","Ndufa3"
"Dld","Ndufa3"
"Ndufa4","Ndufa3"
"Got2","Ndufa3"
"Pygm","Ndufa3"
"Ndufs4","Ndufab1"
"Ndufs2","Ndufab1"
"Ndufb7","Ndufab1"
"Ndufa10","Ndufab1"
"Ndufs1","Ndufab1"
"Ndufs7","Ndufab1"
"Ndufc2","Ndufab1"
"Ndufv2","Ndufab1"
"Cyc1","Ndufab1"
"Park7","Ndufab1"
"Idh3g","Ndufab1"
"Pdhb","Ndufab1"
"Cycs","Ndufab1"
"Mdh2","Ndufab1"
"Idh3a","Ndufab1"
"Aco2","Ndufab1"
"Cisd1","Ndufab1"
"Ndufa4","Ndufab1"
"Pdha1","Ndufab1"
"Ndufa3","Ndufab1"
"Mdh2","Ppif"
"Prdx2","Ppif"
"Slc25a4","Ppif"
"Pygm","Ppp2r5a"
"Psmd13","Psmb8"
"Psma3","Psmb8"
"Psmb9","Psmb8"
"Hk1","Pygl"
"Egln1","Pygl"
"Prpf8","Snrnp200"
"Tardbp","Snrnp200"
"Sart1","Snrnp200"
"Eif4a3","Snrnp200"
"Bin1","Oat"
"Ruvbl1","Uchl5"
"Actn4","Uchl5"
"Fth1","Uchl5"
"Psmd13","Uchl5"
"Rab7","Uchl5"
"Anxa1","Uchl5"
"Prdx1","Uchl5"
"Ctsd","Uchl5"
"Psma3","Uchl5"
"Cap1","Uchl5"
"Prdx3","Uchl5"
"Cyb5b","Uchl5"
"Atg16l1","Sdha"
"Bin1","Sdha"
"Hspa9","Sdha"
"Gnao1","Sdha"
"Ndufs4","Sdha"
"Ndufs2","Sdha"
"Ndufb7","Sdha"
"Ndufa10","Sdha"
"Ndufs1","Sdha"
"Ndufs7","Sdha"
"Ndufc2","Sdha"
"Ndufv2","Sdha"
"Cyc1","Sdha"
"Ldhb","Sdha"
"Hspd1","Sdha"
"Idh3g","Sdha"
"Dlat","Sdha"
"Pdhb","Sdha"
"Cycs","Sdha"
"Mdh2","Sdha"
"Fh1","Sdha"
"Idh3a","Sdha"
"Aco2","Sdha"
"Dld","Sdha"
"Dlst","Sdha"
"Got2","Sdha"
"Ddt","Sdha"
"Hadh","Sdha"
"Prdx3","Sdha"
"Fxn","Sdha"
"Ndufa3","Sdha"
"Bin1","Usp7"
"Pkd2","Usp7"
"Emd","Usp7"
"Casp8","Usp7"
"Pten","Usp7"
"Aifm1","Usp7"
"Mcm3","Usp7"
"Tubb2a","Usp7"
"Fcgr2b","Usp7"
"Syn1","Usp7"
"Atp1a2","Usp7"
"Car2","Usp7"
"Jup","Usp7"
"Gpc4","Usp7"
"Opa1","Usp7"
"Apool","Usp7"
"Maoa","Usp7"
"Mtm1","Usp7"
"Atg16l1","Ywhaq"
"Actb","Ywhaq"
"Mapk14","Ywhaq"
"Gnao1","Ywhaq"
"Emd","Ywhaq"
"Crk","Ywhaq"
"Hsp90aa1","Ywhaq"
"Iqgap1","Ywhaq"
"Cdkn1b","Ywhaq"
"Anxa1","Ywhaq"
"Yap1","Ywhaq"
"Fxyd1","Ywhaq"
"Mff","Ywhaq"
"Pten","Cd63"
"Lnpep","Cd63"
"Col1a2","Col4a2"
"Col5a2","Col4a2"
"Cers2","Cybb"
"Usp7","Cybb"
"Fbln2","Fbln1"
"Ecm1","Fbln1"
"Usp7","Fbn1"
"Ggcx","F10"
"Corin","F10"
"Bin1","Mtmr6"
"Dab2","Mmp2"
"Sqstm1","Mmp2"
"Col1a2","Mmp2"
"Col5a2","Mmp2"
"Col4a2","Mmp2"
"Bin1","Pkn1"
"Casp6","Dhfr"
"Cers2","Pde8a"
"Hdac6","Sorbs3"
"Sin3a","Sorbs3"
"Sorbs2","Sorbs3"
"Vav1","Sorbs3"
"Bin1","Rin3"
"Usp7","Tbl1x"
"Xdh","Mipep"
"Bin1","Sntb1"
"Gnao1","Sntb1"
"Cers2","Prkag2"
"Mapk14","Anp32e"
"Rras2","Fndc5"
"Rhog","Fndc5"
"Gnb2","Fndc5"
"Rac1","Fndc5"
"Actb","Fndc5"
"Myh9","Fndc5"
"Prdx5","Fndc5"
"Mapk1","Fndc5"
"Hdac1","Fndc5"
"Eef1a1","Fndc5"
"Hdac6","Fndc5"
"Nrp2","Fndc5"
"Msn","Fndc5"
"Slc2a1","Fndc5"
"Cfl1","Fndc5"
"Sin3a","Fndc5"
"Pkd2","Fndc5"
"Gnb1","Fndc5"
"Slc25a12","Fndc5"
"Hspa9","Fndc5"
"Glul","Fndc5"
"Phb2","Fndc5"
"Ndufs4","Fndc5"
"Ndufs2","Fndc5"
"Ndufb8","Fndc5"
"Ndufb7","Fndc5"
"Ndufa10","Fndc5"
"Ndufs1","Fndc5"
"Ndufs7","Fndc5"
"Ndufc2","Fndc5"
"Ndufv2","Fndc5"
"Ndufb5","Fndc5"
"Cyc1","Fndc5"
"Cers2","Fndc5"
"Emd","Fndc5"
"Pcna","Fndc5"
"Agrn","Fndc5"
"Pdia6","Fndc5"
"Actn4","Fndc5"
"Hsp90aa1","Fndc5"
"Lmna","Fndc5"
"Hsp90b1","Fndc5"
"Iqgap1","Fndc5"
"Nedd4","Fndc5"
"Mrps35","Fndc5"
"Fth1","Fndc5"
"Yars2","Fndc5"
"Bsg","Fndc5"
"Prpf8","Fndc5"
"Gnas","Fndc5"
"Aifm1","Fndc5"
"Acaca","Fndc5"
"Acadvl","Fndc5"
"Tax1bp1","Fndc5"
"Pdgfrb","Fndc5"
"Cttn","Fndc5"
"Atp1a1","Fndc5"
"Hspd1","Fndc5"
"Idh3b","Fndc5"
"Idh3g","Fndc5"
"Mcm3","Fndc5"
"Rab7","Fndc5"
"Itgb1","Fndc5"
"P4hb","Fndc5"
"Glud1","Fndc5"
"Tomm20","Fndc5"
"Col3a1","Fndc5"
"Atp2a2","Fndc5"
"Adam10","Fndc5"
"Acaa2","Fndc5"
"Dlat","Fndc5"
"Pdhb","Fndc5"
"Pfkp","Fndc5"
"Gosr1","Fndc5"
"Flnc","Fndc5"
"Cycs","Fndc5"
"Fbln2","Fndc5"
"Mdh2","Fndc5"
"Sec61a1","Fndc5"
"Prdx1","Fndc5"
"Idh3a","Fndc5"
"Aco2","Fndc5"
"Dld","Fndc5"
"Lnpep","Fndc5"
"Lgals3bp","Fndc5"
"Slc25a5","Fndc5"
"Prdx2","Fndc5"
"Ppia","Fndc5"
"Bckdha","Fndc5"
"Ctsz","Fndc5"
"Decr1","Fndc5"
"Dlst","Fndc5"
"Gart","Fndc5"
"Ggcx","Fndc5"
"Pdia3","Fndc5"
"Ifit1","Fndc5"
"Itgav","Fndc5"
"Oxnad1","Fndc5"
"Psma3","Fndc5"
"Sacm1l","Fndc5"
"Arpc4","Fndc5"
"Actr2","Fndc5"
"Ckap4","Fndc5"
"Tmed1","Fndc5"
"Saraf","Fndc5"
"G6pdx","Fndc5"
"Cisd1","Fndc5"
"Map4k4","Fndc5"
"Rap1a","Fndc5"
"Trim28","Fndc5"
"Idh1","Fndc5"
"Slc25a4","Fndc5"
"Ndufa4","Fndc5"
"Got2","Fndc5"
"Pdha1","Fndc5"
"Fkbp11","Fndc5"
"Aldh2","Fndc5"
"Cat","Fndc5"
"Snd1","Fndc5"
"Gpd2","Fndc5"
"Gls","Fndc5"
"Maoa","Fndc5"
"Mpst","Fndc5"
"Bckdk","Fndc5"
"Eci1","Fndc5"
"Hadh","Fndc5"
"Ybx1","Fndc5"
"Erp44","Fndc5"
"Ipo5","Fndc5"
"Acadm","Fndc5"
"Acadl","Fndc5"
"Hibadh","Fndc5"
"Lrp1","Fndc5"
"Mpc2","Fndc5"
"Prdx3","Fndc5"
"Txndc5","Fndc5"
"Arl8b","Fndc5"
"Cyb5r3","Fndc5"
"Ndufa3","Fndc5"
"Ndufab1","Fndc5"
"Ppif","Fndc5"
"Snrnp200","Fndc5"
"Oat","Fndc5"
"Cyb5b","Fndc5"
"Sdha","Fndc5"
"Ywhaq","Fndc5"
"Ecm1","Fndc5"
"Fbn1","Fndc5"
"Mmp2","Fndc5"
"Ptgs1","Fndc5"
"Fndc5","Efemp2"
"Fndc5","Fap"
"Fndc5","Enpp1"
"Fndc5","Clcc1"
"Hnrnpd","Fabp4"
"Fndc5","Fabp4"
"Usp7","Ntrk3"
"Fndc5","Mcu"
"Hnrnpd","Stat3"
"Pcbp1","Stat3"
"Stat2","Stat3"
"Rb1cc1","Mfge8"
"Gnao1","Gna12"
"Usp7","Sirt5"
"Mapk1","Pcyt1a"
"Casp8","Pcyt1a"
"Pten","Pcyt1a"
"Hnrnpd","Hsdl2"
"Pten","Hsdl2"
"Acadvl","Hsdl2"
"Acaa2","Hsdl2"
"Decr1","Hsdl2"
"Cat","Hsdl2"
"Eci1","Hsdl2"
"Acox1","Hsdl2"
"Acadl","Hsdl2"
"Atg16l1","Plcg2"
"Csk","Plcg2"
"Npl","Plcg2"
"Ctnnb1","Uchl1"
"Cdkn1b","Uchl1"
"Sharpin","Uchl1"
"Usp7","Igfbp7"
"Usp7","Tril"
"Usp7","Trim16"
"Tnni3","Tnnt2"
"Bin1","Coq6"
"Mdh2","Coq6"
"Cycs","Cox7b"
"Slc25a4","Cox7b"
"Slc25a4","Sdhc"
"Snca","Vdac1"
"Gnao1","Vdac1"
"Hk1","Vdac1"
"Nedd4","Vdac1"
"Aifm1","Vdac1"
"Park7","Vdac1"
"Tomm20","Vdac1"
"Cycs","Vdac1"
"Cpt1b","Vdac1"
"Aldh5a1","Vdac1"
"Tia1","Vdac1"
"Tomm70a","Vdac1"
"Ppif","Vdac1"
"Hnrnpd","Alox5ap"
"Alox5","Alox5ap"
"Hnrnpd","Cacul1"
"Atg16l1","Ywhaz"
"Ppp3cc","Ywhaz"
"Myh9","Ywhaz"
"Myh10","Ywhaz"
"Eef1a1","Ywhaz"
"Col1a1","Ywhaz"
"Msn","Ywhaz"
"Gab2","Ywhaz"
"Usp8","Ywhaz"
"Camk2a","Ywhaz"
"Snca","Ywhaz"
"Hspa9","Ywhaz"
"Gnao1","Ywhaz"
"Phb2","Ywhaz"
"Crk","Ywhaz"
"Pcbp1","Ywhaz"
"Hsp90aa1","Ywhaz"
"Ctnnd1","Ywhaz"
"Kif5b","Ywhaz"
"Hspd1","Ywhaz"
"Idh3b","Ywhaz"
"Cav1","Ywhaz"
"Tubb2a","Ywhaz"
"Col3a1","Ywhaz"
"Cald1","Ywhaz"
"Camk2g","Ywhaz"
"Dlat","Ywhaz"
"Ccdc88a","Ywhaz"
"Dock7","Ywhaz"
"Pacs1","Ywhaz"
"Pdhb","Ywhaz"
"Pfkp","Ywhaz"
"Ppp3ca","Ywhaz"
"Strn","Ywhaz"
"Syn1","Ywhaz"
"Yap1","Ywhaz"
"Slc25a5","Ywhaz"
"Arpc4","Ywhaz"
"Ckap4","Ywhaz"
"Slc25a4","Ywhaz"
"Akt1s1","Ywhaz"
"Lgals9","Ywhaz"
"Ybx1","Ywhaz"
"Ywhaq","Ywhaz"
"Fndc5","Ywhaz"
"Atg16l1","Xrcc6"
"Bin1","Xrcc6"
"Lmna","Xrcc6"
"Pten","Xrcc6"
"Atg16l1","Xrcc5"
"Bin1","Xrcc5"
"Pten","Xrcc5"
"Hras","Ralgds"
"Atg16l1","Tfam"
"Bin1","Tfam"
"Snca","Tfam"
"Grsf1","Tfam"
"Snca","Uqcrfs1"
"Gnao1","Uqcrfs1"
"Ndufs4","Uqcrfs1"
"Ndufs2","Uqcrfs1"
"Ndufb7","Uqcrfs1"
"Ndufa10","Uqcrfs1"
"Ndufs1","Uqcrfs1"
"Ndufs7","Uqcrfs1"
"Ndufc2","Uqcrfs1"
"Ndufv2","Uqcrfs1"
"Ndufb5","Uqcrfs1"
"Cyc1","Uqcrfs1"
"Ldhb","Uqcrfs1"
"Idh3g","Uqcrfs1"
"Dlat","Uqcrfs1"
"Pdhb","Uqcrfs1"
"Cycs","Uqcrfs1"
"Fh1","Uqcrfs1"
"Idh3a","Uqcrfs1"
"Aco2","Uqcrfs1"
"Dld","Uqcrfs1"
"Dlst","Uqcrfs1"
"Cisd1","Uqcrfs1"
"Slc25a4","Uqcrfs1"
"Ndufa4","Uqcrfs1"
"Pdha1","Uqcrfs1"
"Coq9","Uqcrfs1"
"Ndufa3","Uqcrfs1"
"Ndufab1","Uqcrfs1"
"Sdha","Uqcrfs1"
"Snca","Tomm40"
"Hspd1","Tomm40"
"Atg16l1","Tagln2"
"Actb","Tagln2"
"Gnao1","Tagln2"
"Pten","Tagln2"
"Fndc5","Trip10"
"Actb","Tjp2"
"Myh9","Tjp2"
"Inpp5d","Tjp2"
"Csk","Tjp2"
"Snd1","Tjp2"
"Dlst","Sod2"
"Fndc5","Sod2"
"Phb2","Vim"
"Iqgap1","Vim"
"Sqstm1","Vim"
"Pla2g4a","Vim"
"Ctsz","Vim"
"Snd1","Vim"
"Fndc5","Vim"
"Myh9","S100a11"
"Mapk14","S100a11"
"Bin1","Prkab1"
"Map3k7","Prkaa2"
"Hspa9","Ykt6"
"Gosr1","Ykt6"
"Atp2a2","Pln"
"Aspscr1","Vamp3"
"Fndc5","Vamp3"
"Hspd1","Thop1"
"Idh1","Thop1"
"Fndc5","Thop1"
"Atg16l1","Ptprc"
"Itgb1","Ptprc"
"Cap2","Ptprc"
"Fndc5","Ptprc"
"Hdac6","Srsf3"
"Mapk14","Srsf3"
"Phb2","Srsf3"
"Pcbp1","Srsf3"
"Ptbp1","Srsf3"
"Fndc5","Srsf3"
"Sqstm1","Trim55"
"Bin1","Tkt"
"Pten","Tkt"
"Pygl","Tkt"
"Fndc5","Tkt"
"Bin1","Wasl"
"Iqgap1","Wasl"
"Bin1","Sh3glb1"
"Dnm1","Sh3glb1"
"Hnrnpd","Sh3glb1"
"Csk","Sh3glb1"
"Alb","Vps4b"
"Ccdc88a","Vps4b"
"Pdcd6ip","Vps4b"
"Chmp2b","Vps4b"
"Saraf","Vps4b"
"Bin1","Pfdn1"
"Gnb1","Pfdn1"
"Oxnad1","Phka2"
"Atp2a2","Pon2"
"Cul2","Sptlc2"
"Fndc5","Sptlc2"
"Fndc5","Vamp8"
"Actb","Tes"
"Myh9","Tes"
"Bin1","Tes"
"Myh10","Tes"
"Itga5","Tes"
"Csnk1d","Rasip1"
"Myh9","Wnk1"
"Adam10","Wnk1"
"Fndc5","Tmem43"
"Actb","Tprn"
"Myh9","Tprn"
"Bin1","Tprn"
"Myh10","Tprn"
"Itga5","Tprn"
"Fndc5","Timmdc1"
"Park7","Tnc"
"Pgk1","Tnc"
"Atg16l1","Vasp"
"Bin1","Vasp"
"Mapk14","Vasp"
"Emd","Vasp"
"Hmgb2","Vasp"
"Atg16l1","Trap1"
"Hspa9","Trap1"
"Hspd1","Trap1"
"Cdk5","Trap1"
"Fndc5","Trap1"
"Bin1","Zyx"
"Actn1","Zyx"
"Fndc5","Zyx"
"Cyc1","Sdhd"
"Fh1","Sdhd"
"Idh3a","Sdhd"
"Acaa2","Scp2"
"Cat","Scp2"
"Acox1","Scp2"
"Dhodh","Taco1"
"Fndc5","Taco1"
"Alb","Hp"
"Mical1","Qrsl1"
"Fndc5","Hmox1"
"Col1a1","Lum"
"Col1a2","Lum"
"Inpp5d","Pecam1"
"Parp14","Parp9"
"Cybb","Plbd1"
"Col1a2","Postn"
"Mmp2","Postn"
"Cd63","Slc29a1"
"Fndc5","Slc29a1"
"Rb1","Smyd2"
"Fndc5","Poldip2"
"Fndc5","Gpx8"
"Fndc5","Usp30"
"Fndc5","Pvr"
"Fndc5","H2-K1"
"Bckdk","Pck2"
"Fndc5","Pck2"
"Fndc5","Mcur1"
"Pten","Scarb2"
"Hnrnpd","Pf4"
"Bin1","Shb"
